,chart_week,list_position,track_id,name_x,duration_ms,release_date,album_type,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_id,name_y,popularity,followers
49,2020-11-28,7,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
50,2020-12-19,7,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
51,2020-03-07,8,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
52,2021-03-20,8,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
53,2021-04-10,8,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
54,2020-12-05,9,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
55,2021-04-17,9,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
56,2020-02-29,10,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
57,2019-12-14,11,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
58,2020-12-12,11,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
59,2021-04-24,11,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
60,2021-05-08,11,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
61,2021-05-15,11,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
62,2020-02-22,12,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
63,2021-05-22,12,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
64,2021-05-01,13,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
65,2020-02-15,15,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
66,2021-06-19,15,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
67,2021-07-03,15,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
68,2021-07-17,15,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
69,2021-08-14,16,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
70,2021-06-12,17,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
71,2021-06-26,17,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
72,2021-07-24,17,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
73,2021-07-31,17,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
74,2021-08-07,17,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
75,2020-02-08,18,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
76,2020-12-26,18,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
77,2021-07-10,18,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
